geocod,geodsg,dim_3,dim_3_t,dim_4,dim_4_t,ind_string,valor,ano_referencia,Sucesso
11,Norte,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",7,7 ou mais pisos,23,23,2021,
11,Norte,3,Edifício clássico de outro tipo,7,7 ou mais pisos,28,28,2021,
11,Norte,3,Edifício clássico de outro tipo,6,6 pisos,30,30,2021,
11,Norte,3,Edifício clássico de outro tipo,5,5 pisos,78,78,2021,
11,Norte,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",6,6 pisos,79,79,2021,
11,Norte,3,Edifício clássico de outro tipo,4,4 pisos,193,193,2021,
11,Norte,3,Edifício clássico de outro tipo,1,1 piso,252,252,2021,
11,Norte,3,Edifício clássico de outro tipo,3,3 pisos,562,562,2021,
11,Norte,3,Edifício clássico de outro tipo,2,2 pisos,696,696,2021,
11,Norte,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",5,5 pisos,811,811,2021,
11,Norte,3,Edifício clássico de outro tipo,T,Total,1 839,1839,2021,
11,Norte,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",1,1 piso,2 482,2482,2021,
11,Norte,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",6,6 pisos,6 876,6876,2021,
11,Norte,T,Total,6,6 pisos,6 985,6985,2021,
11,Norte,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",4,4 pisos,9 228,9228,2021,
11,Norte,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",7,7 ou mais pisos,9 495,9495,2021,
11,Norte,T,Total,7,7 ou mais pisos,9 546,9546,2021,
11,Norte,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",2,2 pisos,11 645,11645,2021,
11,Norte,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",5,5 pisos,13 362,13362,2021,
11,Norte,T,Total,5,5 pisos,14 251,14251,2021,
11,Norte,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",3,3 pisos,18 502,18502,2021,
11,Norte,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",4,4 pisos,21 266,21266,2021,
11,Norte,T,Total,4,4 pisos,30 687,30687,2021,
11,Norte,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",T,Total,83 628,83628,2021,
11,Norte,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",3,3 pisos,124 049,124049,2021,
11,Norte,T,Total,3,3 pisos,143 113,143113,2021,
11,Norte,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",1,1 piso,318 297,318297,2021,
11,Norte,T,Total,1,1 piso,321 031,321031,2021,
11,Norte,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",2,2 pisos,690 040,690040,2021,
11,Norte,T,Total,2,2 pisos,702 381,702381,2021,
11,Norte,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",T,Total,1 142 527,1142527,2021,
11,Norte,T,Total,T,Total,1 227 994,1227994,2021,
,,,,,,,,,"{'Falso': [{'IndicadorCod': '0012582', 'Lingua': 'PT', 'DataExtracao': '2025-12-10T21:21:41.211Z', 'Msg': '(PT) Código(s) em Dim2 não válido(s) para o indicador / (EN) Code(s) in Dim2 not valid for the indicator.', 'Cod': '4'}]}"
,,,,,,,,,"{'Falso': [{'IndicadorCod': '0012582', 'Lingua': 'PT', 'DataExtracao': '2025-12-10T21:21:42.035Z', 'Msg': '(PT) Código(s) em Dim2 não válido(s) para o indicador / (EN) Code(s) in Dim2 not valid for the indicator.', 'Cod': '4'}]}"
,,,,,,,,,"{'Falso': [{'IndicadorCod': '0012582', 'Lingua': 'PT', 'DataExtracao': '2025-12-10T21:21:42.762Z', 'Msg': '(PT) Código(s) em Dim2 não válido(s) para o indicador / (EN) Code(s) in Dim2 not valid for the indicator.', 'Cod': '4'}]}"
15,Algarve,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",7,7 ou mais pisos,2,2,2021,
15,Algarve,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",6,6 pisos,5,5,2021,
15,Algarve,3,Edifício clássico de outro tipo,6,6 pisos,6,6,2021,
15,Algarve,3,Edifício clássico de outro tipo,5,5 pisos,9,9,2021,
15,Algarve,3,Edifício clássico de outro tipo,7,7 ou mais pisos,12,12,2021,
15,Algarve,3,Edifício clássico de outro tipo,4,4 pisos,18,18,2021,
15,Algarve,3,Edifício clássico de outro tipo,3,3 pisos,46,46,2021,
15,Algarve,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",5,5 pisos,57,57,2021,
15,Algarve,3,Edifício clássico de outro tipo,1,1 piso,96,96,2021,
15,Algarve,3,Edifício clássico de outro tipo,2,2 pisos,109,109,2021,
15,Algarve,3,Edifício clássico de outro tipo,T,Total,296,296,2021,
15,Algarve,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",4,4 pisos,560,560,2021,
15,Algarve,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",1,1 piso,770,770,2021,
15,Algarve,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",6,6 pisos,1 257,1257,2021,
15,Algarve,T,Total,6,6 pisos,1 268,1268,2021,
15,Algarve,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",7,7 ou mais pisos,1 749,1749,2021,
15,Algarve,T,Total,7,7 ou mais pisos,1 763,1763,2021,
15,Algarve,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",5,5 pisos,2 899,2899,2021,
15,Algarve,T,Total,5,5 pisos,2 965,2965,2021,
15,Algarve,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",2,2 pisos,3 348,3348,2021,
15,Algarve,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",4,4 pisos,5 106,5106,2021,
15,Algarve,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",3,3 pisos,5 641,5641,2021,
15,Algarve,T,Total,4,4 pisos,5 684,5684,2021,
15,Algarve,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",3,3 pisos,11 283,11283,2021,
15,Algarve,T,Total,3,3 pisos,16 970,16970,2021,
15,Algarve,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",T,Total,20 770,20770,2021,
15,Algarve,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",2,2 pisos,70 665,70665,2021,
15,Algarve,T,Total,2,2 pisos,74 122,74122,2021,
15,Algarve,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",1,1 piso,97 440,97440,2021,
15,Algarve,T,Total,1,1 piso,98 306,98306,2021,
15,Algarve,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",T,Total,180 012,180012,2021,
15,Algarve,T,Total,T,Total,201 078,201078,2021,
20,Região Autónoma dos Açores,3,Edifício clássico de outro tipo,6,6 pisos,1,1,2021,
20,Região Autónoma dos Açores,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",7,7 ou mais pisos,3,3,2021,
20,Região Autónoma dos Açores,3,Edifício clássico de outro tipo,5,5 pisos,4,4,2021,
20,Região Autónoma dos Açores,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",6,6 pisos,16,16,2021,
20,Região Autónoma dos Açores,3,Edifício clássico de outro tipo,4,4 pisos,16,16,2021,
20,Região Autónoma dos Açores,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",6,6 pisos,26,26,2021,
20,Região Autónoma dos Açores,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",7,7 ou mais pisos,41,41,2021,
20,Região Autónoma dos Açores,T,Total,6,6 pisos,43,43,2021,
20,Região Autónoma dos Açores,T,Total,7,7 ou mais pisos,44,44,2021,
20,Região Autónoma dos Açores,3,Edifício clássico de outro tipo,3,3 pisos,46,46,2021,
20,Região Autónoma dos Açores,3,Edifício clássico de outro tipo,1,1 piso,51,51,2021,
20,Região Autónoma dos Açores,3,Edifício clássico de outro tipo,2,2 pisos,100,100,2021,
20,Região Autónoma dos Açores,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",5,5 pisos,105,105,2021,
20,Região Autónoma dos Açores,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",1,1 piso,117,117,2021,
20,Região Autónoma dos Açores,3,Edifício clássico de outro tipo,T,Total,218,218,2021,
20,Região Autónoma dos Açores,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",5,5 pisos,297,297,2021,
20,Região Autónoma dos Açores,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",4,4 pisos,376,376,2021,
20,Região Autónoma dos Açores,T,Total,5,5 pisos,406,406,2021,
20,Região Autónoma dos Açores,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",2,2 pisos,614,614,2021,
20,Região Autónoma dos Açores,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",3,3 pisos,802,802,2021,
20,Região Autónoma dos Açores,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",4,4 pisos,980,980,2021,
20,Região Autónoma dos Açores,T,Total,4,4 pisos,1 372,1372,2021,
20,Região Autónoma dos Açores,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",T,Total,2 081,2081,2021,
20,Região Autónoma dos Açores,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",3,3 pisos,6 311,6311,2021,
20,Região Autónoma dos Açores,T,Total,3,3 pisos,7 159,7159,2021,
20,Região Autónoma dos Açores,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",1,1 piso,37 317,37317,2021,
20,Região Autónoma dos Açores,T,Total,1,1 piso,37 485,37485,2021,
20,Região Autónoma dos Açores,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",2,2 pisos,53 255,53255,2021,
20,Região Autónoma dos Açores,T,Total,2,2 pisos,53 969,53969,2021,
20,Região Autónoma dos Açores,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",T,Total,98 179,98179,2021,
20,Região Autónoma dos Açores,T,Total,T,Total,100 478,100478,2021,
20,Região Autónoma dos Açores,3,Edifício clássico de outro tipo,7,7 ou mais pisos,0,0,2021,
30,Região Autónoma da Madeira,3,Edifício clássico de outro tipo,7,7 ou mais pisos,5,5,2021,
30,Região Autónoma da Madeira,3,Edifício clássico de outro tipo,6,6 pisos,6,6,2021,
30,Região Autónoma da Madeira,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",6,6 pisos,9,9,2021,
30,Região Autónoma da Madeira,3,Edifício clássico de outro tipo,5,5 pisos,9,9,2021,
30,Região Autónoma da Madeira,3,Edifício clássico de outro tipo,1,1 piso,10,10,2021,
30,Região Autónoma da Madeira,3,Edifício clássico de outro tipo,4,4 pisos,21,21,2021,
30,Região Autónoma da Madeira,3,Edifício clássico de outro tipo,3,3 pisos,33,33,2021,
30,Região Autónoma da Madeira,3,Edifício clássico de outro tipo,2,2 pisos,36,36,2021,
30,Região Autónoma da Madeira,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",5,5 pisos,99,99,2021,
30,Região Autónoma da Madeira,3,Edifício clássico de outro tipo,T,Total,120,120,2021,
30,Região Autónoma da Madeira,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",1,1 piso,160,160,2021,
30,Região Autónoma da Madeira,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",6,6 pisos,372,372,2021,
30,Região Autónoma da Madeira,T,Total,6,6 pisos,387,387,2021,
30,Região Autónoma da Madeira,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",2,2 pisos,626,626,2021,
30,Região Autónoma da Madeira,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",5,5 pisos,632,632,2021,
30,Região Autónoma da Madeira,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",7,7 ou mais pisos,721,721,2021,
30,Região Autónoma da Madeira,T,Total,7,7 ou mais pisos,726,726,2021,
30,Região Autónoma da Madeira,T,Total,5,5 pisos,740,740,2021,
30,Região Autónoma da Madeira,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",4,4 pisos,765,765,2021,
30,Região Autónoma da Madeira,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",4,4 pisos,858,858,2021,
30,Região Autónoma da Madeira,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",3,3 pisos,890,890,2021,
30,Região Autónoma da Madeira,T,Total,4,4 pisos,1 644,1644,2021,
30,Região Autónoma da Madeira,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",T,Total,4 259,4259,2021,
30,Região Autónoma da Madeira,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",3,3 pisos,10 446,10446,2021,
30,Região Autónoma da Madeira,T,Total,3,3 pisos,11 369,11369,2021,
30,Região Autónoma da Madeira,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",1,1 piso,27 783,27783,2021,
30,Região Autónoma da Madeira,T,Total,1,1 piso,27 953,27953,2021,
30,Região Autónoma da Madeira,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",2,2 pisos,47 489,47489,2021,
30,Região Autónoma da Madeira,T,Total,2,2 pisos,48 151,48151,2021,
30,Região Autónoma da Madeira,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",T,Total,86 591,86591,2021,
30,Região Autónoma da Madeira,T,Total,T,Total,90 970,90970,2021,
30,Região Autónoma da Madeira,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",7,7 ou mais pisos,0,0,2021,
